Title,Genre,Rating,Voting,Duration
111. Wanted: Girlfriend,Romance,4.1, (231),49m
112. Love Switch,Romance,6.1, (257),1h 29m
113. Bau: Artist at War,Romance,7.2, (62),2h 10m
114. Música,Romance,6.4, (5.1K),1h 31m
115. Swap,Romance,2.9, (351),1h 26m
116. Ashes,Romance,4.3, (2.6K),1h 40m
"117. Love, Wine & Salt: A Tuscan Romance",Romance,5.6, (58),1h 20m
118. Timestalker,Romance,5.5, (3K),1h 29m
119. Amar Singh Chamkila,Romance,7.8, (16K),2h 25m
120. Cinderella's Revenge,Romance,3.8, (1.2K),1h 25m
121. City Hunter,Romance,6.3, (5.7K),1h 42m
122. Reversi,Romance,7.1, (259),2h 15m
123. Love Story,Romance,5.5, (414),2h 5m
124. Cinderella's Curse,Romance,3.3, (1.3K),1h 22m
125. Addition,Romance,8.3, (32),1h 31m
126. First Taste,Romance,5.9, (302),1h 37m
127. From Contract Lover to the Billionaire's Bride,Romance,6.9, (536),1h 24m
128. 18×2 Beyond Youthful Days,Romance,7.3, (2K),2h 3m
129. Auron Mein Kahan Dum Tha,Romance,6.5, (41K),2h 30m
130. Sunlight,Romance,7.6, (19),1h 36m
131. Savi,Romance,6.1, (35K),2h 6m
132. Tillu Square,Romance,6.6, (3.4K),2h 17m
133. Drawing Closer,Romance,7.6, (2.7K),1h 58m
134. Another End,Romance,6.4, (773),1h 59m
135. Hold Me Close,Romance,5.7, (45),1h 38m
136. Intoxicated by Love,Romance,8.5, (13K),1h 58m
137. Young Werther,Romance,5.6, (236),1h 41m
138. Meet Me Next Christmas,Romance,5.7, (8.6K),1h 45m
139. Wallbanger,Romance,5.6, (695),1h 58m
140. Daniela Forever,Romance,6.1, (228),1h 53m
141. Gelin Takimi,Romance,3.4, (2.7K),1h 49m
142. Ask Mevsimi,Romance,4.9, (390),2h 6m
143. The Groomsmen: First Look,Romance,6.1, (395),1h 22m
144. We're All Gonna Die,Romance,8.2, (96),1h 50m
145. Bad Newz,Romance,4.7, (26K),2h 22m
146. Plan B,Romance,6.1, (1.4K),1h 30m
147. Two to One,Romance,6.1, (790),1h 56m
148. Undergrads,Romance,5.3, (58),1h 6m
149. The Groomsmen Last Dance,Romance,6.9, (357),Mark as watched
150. Mr. Manhattan,Romance,6.8, (462),1h 50m
151. 0000 Kilometre,Romance,2.5, (151),1h 50m
152. Goyo,Romance,6.6, (2.3K),1h 46m
153. Gone Running,Romance,7.0, (4.3K),1h 45m
