Title,Genre,Rating,Voting,Duration
114. The Soul Eater,Horror,5.9, (2.8K),1h 48m
115. Bramayugam,Horror,7.8, (14K),2h 19m
116. Handling the Undead,Horror,5.3, (4.5K),1h 37m
118. The Radleys,Horror,5.0, (2.8K),1h 55m
119. Seeds,Horror,5.0, (196),1h 22m
120. Deadly Retreat,Horror,5.3, (94),46m
121. Outside,Horror,5.1, (4.7K),2h 22m
122. River of Blood,Horror,5.1, (1.9K),1h 26m
123. Rippy,Horror,4.2, (930),1h 23m
124. Beezel,Horror,4.8, (1.4K),1h 21m
125. Something in the Water,Horror,4.1, (4.9K),1h 26m
126. Pedro Páramo,Horror,6.3, (3K),2h 10m
127. House of Spoils,Horror,5.0, (3.9K),1h 41m
128. Baby Invasion,Horror,4.7, (529),1h 20m
129. Butchers Book Two: Raghorn,Horror,4.1, (631),1h 28m
130. Saint Catherine,Horror,4.3, (138),1h 26m
131. Turno Nocturno,Horror,5.3, (629),1h 47m
132. The Killgrin,Horror,6.5, (56),1h 23m
133. #MissingCouple,Horror,5.3, (680),1h 33m
134. Handsome Guys,Horror,6.5, (913),1h 41m
135. Invasive,Horror,5.6, (780),1h 37m
136. Bhool Bhulaiyaa 3,Horror,4.6, (78K),2h 38m
137. Latency,Horror,4.2, (2.8K),1h 34m
138. Shelby Oaks,Horror,5.9, (250),1h 39m
139. The Dead Thing,Horror,4.7, (973),1h 34m
140. The Wailing,Horror,6.1, (1.3K),1h 47m
141. Milk & Serial,Horror,6.6, (2.6K),1h 2m
142. Little Bites,Horror,4.6, (1.3K),1h 45m
143. Hell Hole,Horror,4.4, (1.3K),1h 32m
144. Murder Mubarak,Horror,5.8, (51K),2h 20m
145. Love Me Dead,Horror,6.7, (42),1h 27m
146. Street Trash,Horror,4.5, (913),1h 25m
147. Destroy All Neighbors,Horror,5.3, (2.1K),1h 25m
148. Outbreak,Horror,4.4, (870),1h 28m
149. Frankie Freako,Horror,5.6, (1.2K),1h 25m
150. Grave Torture,Horror,6.2, (3K),1h 57m
151. Dark Match,Horror,5.4, (991),1h 34m
152. The Stalking,Horror,3.5, (48),1h 12m
153. Haunt Season,Horror,4.9, (806),1h 21m
154. Munkar,Horror,5.2, (537),1h 27m
155. Hide N Seek,Horror,8.8, (2.2K),2h 14m
156. Bloodline Killer,Horror,4.1, (4.8K),1h 45m
157. Black Cab,Horror,4.2, (1.8K),1h 28m
158. Bureau 749,Horror,4.0, (563),2h 3m
159. Creep Encounters,Horror,4.2, (119),1h 12m
160. The Witch: Revenge,Horror,5.3, (850),1h 40m
161. Sorop,Horror,5.4, (202),1h 43m
162. Do Not Enter,Horror,5.3, (635),1h 25m
163. Swap,Horror,2.9, (351),1h 26m
164. Mom,Horror,5.2, (199),1h 35m
165. Carved,Horror,4.4, (2.8K),1h 35m
166. Cinderella's Revenge,Horror,3.8, (1.2K),1h 25m
167. Out Come the Wolves,Horror,4.7, (1.5K),1h 26m
168. Demonte Colony 2,Horror,6.6, (4.5K),2h 24m
169. Cinderella's Curse,Horror,3.3, (1.3K),1h 22m
170. Anaconda,Horror,4.9, (651),1h 24m
171. Vampire Zombies... From Space!,Horror,7.4, (102),1h 38m
172. The Demon Disorder,Horror,4.8, (1.3K),1h 26m
173. Within the Pines,Horror,6.7, (17),1h 13m
174. The Train of Death,Horror,4.7, (708),1h 43m
175. Bogieville,Horror,5.5, (326),1h 48m
176. Ick,Horror,5.6, (207),1h 27m
177. Krazy House,Horror,4.8, (1.5K),1h 29m
178. The Curse of the Necklace,Horror,4.5, (1.1K),1h 39m
179. Succubus,Horror,3.5, (862),1h 36m
180. In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,Horror,7.9, (138),6h 3m
181. Parvulos,Horror,6.7, (347),1h 59m
182. HMM Hug Me More,Horror,9.0, (1.1K),1h 42m
183. Are You There?,Horror,6.6, (62),1h 28m
184. DarkGame,Horror,4.6, (2.9K),1h 40m
185. Curse of the Naked Ghost Hunters,Horror,5.1, (13),35m
186. Operation Blood Hunt,Horror,3.4, (502),1h 33m
187. Orang Ikan,Horror,6.2, (75),1h 23m
188. Soul Reaper,Horror,5.8, (302),1h 52m
